区名,人口　平成22年　(a),面積（km2）　(b) 1)2),人口密度（1km2当たり）　(a)/(b) 2)
葛飾区,442586,34.79,12721.6
江戸川区,678967,49.76,13644.8
江東区,460819,39.94,11537.8
港区,205131,20.34,10085.1
新宿区,326309,18.23,17899.6
杉並区,549569,34.02,16154.3
世田谷区,877138,58.08,15102.2
足立区,683426,53.2,12846.4
大田区,693373,59.46,11661.2
中野区,314750,15.59,20189.2
町田市,426987,71.63,5961
調布市,223593,21.53,10385.2
八王子市,580053,186.31,3113.4
板橋区,535824,32.17,16656
品川区,365302,22.72,16078.4
府中市,255506,29.34,8708.5
文京区,206626,11.31,18269.3
豊島区,284678,13.01,21881.5
北区,335544,20.59,16296.5
墨田区,247606,13.75,18007.7
目黒区,268330,14.7,18253.7
練馬区,716124,48.16,14869.7
